,ranking,from,to,airline,distance,duration,aircraftType,from_latitude,from_longitude,to_latitude,to_longitude
0,1,Sydney,Dallas/Fort Worth,Qantas,13804,15.416666666666664,Boeing 747-400ER,-33.9355997,151.165212,32.8859533,-97.0212913
1,2,Johannesburg,Atlanta,Delta Air Lines,13582,16.666666666666668,Boeing 777-200LR,-26.205,28.0497222,43.8135111,-115.1350815
2,3,Abu Dhabi,Los Angeles,Etihad,13502,16.416666666666668,Boeing 777-200LR,24.4747961,54.3705762,34.0536781,-118.2427025
3,4,Dubai,Los Angeles,Emirates,13420,16.583333333333332,Airbus A380-800,25.2683521,55.2961962,34.0536781,-118.2427025
4,5,Jeddah,Los Angeles,Saudia,13409,16.916666666666668,Boeing 777-300ER,21.6794,39.1567,34.0536781,-118.2427025
5,6,Dallas/Fort Worth,Brisbane,Qantas,13363,16.083333333333332,Boeing 747-400ER,32.8859533,-97.0212913,-27.4036305,153.1098031
6,7,Dubai,Houston-Intercontinental,Emirates,13144,16.333333333333332,Boeing 777-300ER,25.2683521,55.2961962,29.98416745,-95.3328073060574
7,8,Dallas/Fort Worth,Hong Kong,American Airlines,13072,16.333333333333332,Boeing 777-300ER,32.8859533,-97.0212913,22.315977,113.93650512433
8,9,Dubai,San Francisco,Emirates,13041,15.833333333333336,Boeing 777-300ER,25.2683521,55.2961962,37.62252,-122.383890607814
9,10,New York,Hong Kong,Cathay Pacific,12990,16.0,Boeing 777-300ER,42.0003524,-75.7594516,22.315977,113.93650512433
10,11,Newark,Hong Kong,United Airlines,12980,16.0,Boeing 777-200ER,40.735657,-74.1723667,22.315977,113.93650512433
11,11,Newark,Hong Kong,Cathay Pacific,12980,15.833333333333336,Boeing 777-300ER,40.735657,-74.1723667,22.315977,113.93650512433
12,13,Doha,Houston,Qatar Airways,12951,16.333333333333332,Boeing 777-200LR,25.34403115,51.5759155776236,37.8833872,-87.3163634
13,14,Dubai,Dallas/Fort Worth,Emirates,12940,16.333333333333332,Boeing 777-200LR,25.2683521,55.2961962,32.8859533,-97.0212913
14,15,New York,Guangzhou,China Southern,12878,16.083333333333332,Boeing 777-300ER,42.0003524,-75.7594516,23.1229013,113.2529963
15,16,Johannesburg,New York,South African Airways,12825,16.083333333333332,Airbus A340-600,-26.205,28.0497222,42.0003524,-75.7594516
16,17,Doha,Dallas/Fort Worth,Qatar Airways,12764,16.333333333333332,Boeing 777-200LR,25.34403115,51.5759155776236,32.8859533,-97.0212913
17,18,Los Angeles,Melbourne,Qantas,12748,15.833333333333336,Airbus A380-800,34.0536781,-118.2427025,-37.6713,144.8464
18,18,Los Angeles,Melbourne,Virgin Australia,12748,15.833333333333336,Boeing 777-300ER,34.0536781,-118.2427025,-37.6713,144.8464
19,20,Toronto,Hong Kong,Cathay Pacific,12569,15.416666666666664,Boeing 777-300ER,43.6529206,-79.3849008,22.315977,113.93650512433
20,20,Toronto,Hong Kong,Air Canada,12569,15.583333333333336,Boeing 777-200LR,43.6529206,-79.3849008,22.315977,113.93650512433
21,22,New York,Taipei,EVA Air,12566,15.5,Boeing 777-300ER,42.0003524,-75.7594516,24.7910087,121.533556
22,23,Mumbai,Newark,United Airlines,12565,16.083333333333332,Boeing 777-200ER,18.9523804,72.8327112,40.735657,-74.1723667
23,23,Mumbai,Newark,Air India,12565,16.083333333333332,Boeing 777-300ER,18.9523804,72.8327112,40.735657,-74.1723667
24,25,Chicago-O'Hare,Hong Kong,United Airlines,12542,15.916666666666664,Boeing 777-200ER,41.97787545,-87.9092629264477,22.315977,113.93650512433
25,25,Chicago-O'Hare,Hong Kong,Cathay Pacific,12542,15.416666666666664,Boeing 777-300ER,41.97787545,-87.9092629264477,22.315977,113.93650512433
26,27,Vancouver,Sydney,Air Canada,12484,15.666666666666664,Boeing 777-200LR,49.2608944,-123.1139383,-33.9355997,151.165212
27,28,Doha,Miami,Qatar Airways,12357,15.666666666666664,Boeing 777-200LR,25.34403115,51.5759155776236,25.7966186,-80.2583452
28,29,Dubai,Atlanta,Delta Air Lines,12230,15.75,Boeing 777-200LR,25.2683521,55.2961962,43.8135111,-115.1350815
29,30,Dubai,São Paulo,Emirates,12217,14.916666666666664,Boeing 777-300ER,25.2683521,55.2961962,-23.6274278,-46.6566819973551
